,Country,Year,Density,
762,Tajikistan,2010,Population aged 60+ years old (percentage),4.6
762,Tajikistan,2010,Population density,53.3
762,Tajikistan,2015,Population mid-year estimates (millions),8.52
762,Tajikistan,2015,Population mid-year estimates for males (millions),4.28
762,Tajikistan,2015,Population mid-year estimates for females (millions),4.24
762,Tajikistan,2015,Sex ratio (males per 100 females),100.8
762,Tajikistan,2015,Population aged 0 to 14 years old (percentage),36.6
762,Tajikistan,2015,Population aged 60+ years old (percentage),4.9
762,Tajikistan,2015,Population density,59.6
762,Tajikistan,2021,Population mid-year estimates (millions),9.75
762,Tajikistan,2021,Population mid-year estimates for males (millions),4.91
762,Tajikistan,2021,Population mid-year estimates for females (millions),4.84
762,Tajikistan,2021,Sex ratio (males per 100 females),101.3
762,Tajikistan,2021,Population aged 0 to 14 years old (percentage),36.4
762,Tajikistan,2021,Population aged 60+ years old (percentage),5.9
762,Tajikistan,2021,Population density,68.1
762,Tajikistan,2021,Surface area (thousand km2),141
762,Tajikistan,2022,Population mid-year estimates (millions),9.95
762,Tajikistan,2022,Population mid-year estimates for males (millions),5.01
762,Tajikistan,2022,Population mid-year estimates for females (millions),4.94
762,Tajikistan,2022,Sex ratio (males per 100 females),101.3
762,Tajikistan,2022,Population aged 0 to 14 years old (percentage),36.3
762,Tajikistan,2022,Population aged 60+ years old (percentage),6.2
762,Tajikistan,2022,Population density,69.6
764,Thailand,2010,Population mid-year estimates (millions),68.27
764,Thailand,2010,Population mid-year estimates for males (millions),33.51
764,Thailand,2010,Population mid-year estimates for females (millions),34.76
764,Thailand,2010,Sex ratio (males per 100 females),96.4
764,Thailand,2010,Population aged 0 to 14 years old (percentage),19.3
764,Thailand,2010,Population aged 60+ years old (percentage),13.2
764,Thailand,2010,Population density,133.6
764,Thailand,2015,Population mid-year estimates (millions),70.29
764,Thailand,2015,Population mid-year estimates for males (millions),34.37
764,Thailand,2015,Population mid-year estimates for females (millions),35.93
764,Thailand,2015,Sex ratio (males per 100 females),95.6
764,Thailand,2015,Population aged 0 to 14 years old (percentage),17.4
764,Thailand,2015,Population aged 60+ years old (percentage),16.3
764,Thailand,2015,Population density,137.6
764,Thailand,2021,Population mid-year estimates (millions),71.6
764,Thailand,2021,Population mid-year estimates for males (millions),34.79
764,Thailand,2021,Population mid-year estimates for females (millions),36.81
764,Thailand,2021,Sex ratio (males per 100 females),94.5
764,Thailand,2021,Population aged 0 to 14 years old (percentage),15.8
764,Thailand,2021,Population aged 60+ years old (percentage),21.2
764,Thailand,2021,Population density,140.2
764,Thailand,2021,Surface area (thousand km2),513
764,Thailand,2022,Population mid-year estimates (millions),71.7
764,Thailand,2022,Population mid-year estimates for males (millions),34.81
764,Thailand,2022,Population mid-year estimates for females (millions),36.89
764,Thailand,2022,Sex ratio (males per 100 females),94.3
764,Thailand,2022,Population aged 0 to 14 years old (percentage),15.5
764,Thailand,2022,Population aged 60+ years old (percentage),22
764,Thailand,2022,Population density,140.3
626,Timor-Leste,2010,Population mid-year estimates (millions),1.09
626,Timor-Leste,2010,Population mid-year estimates for males (millions),0.56
626,Timor-Leste,2010,Population mid-year estimates for females (millions),0.53
626,Timor-Leste,2010,Sex ratio (males per 100 females),105.3
626,Timor-Leste,2010,Population aged 0 to 14 years old (percentage),41.4
626,Timor-Leste,2010,Population aged 60+ years old (percentage),7.6
626,Timor-Leste,2010,Population density,73.2
626,Timor-Leste,2015,Population mid-year estimates (millions),1.21
626,Timor-Leste,2015,Population mid-year estimates for males (millions),0.62
626,Timor-Leste,2015,Population mid-year estimates for females (millions),0.59
626,Timor-Leste,2015,Sex ratio (males per 100 females),104.1
626,Timor-Leste,2015,Population aged 0 to 14 years old (percentage),39
626,Timor-Leste,2015,Population aged 60+ years old (percentage),7.9
626,Timor-Leste,2015,Population density,81.1
626,Timor-Leste,2021,Population mid-year estimates (millions),1.32
626,Timor-Leste,2021,Population mid-year estimates for males (millions),0.67
626,Timor-Leste,2021,Population mid-year estimates for females (millions),0.65
626,Timor-Leste,2021,Sex ratio (males per 100 females),104.1
626,Timor-Leste,2021,Population aged 0 to 14 years old (percentage),35.3
626,Timor-Leste,2021,Population aged 60+ years old (percentage),7.4
626,Timor-Leste,2021,Population density,88.8
626,Timor-Leste,2021,Surface area (thousand km2),15
626,Timor-Leste,2022,Population mid-year estimates (millions),1.34
626,Timor-Leste,2022,Population mid-year estimates for males (millions),0.68
626,Timor-Leste,2022,Population mid-year estimates for females (millions),0.66
626,Timor-Leste,2022,Sex ratio (males per 100 females),104
626,Timor-Leste,2022,Population aged 0 to 14 years old (percentage),34.7
626,Timor-Leste,2022,Population aged 60+ years old (percentage),7.3
626,Timor-Leste,2022,Population density,90.2
768,Togo,2010,Population mid-year estimates (millions),6.57
768,Togo,2010,Population mid-year estimates for males (millions),3.29
768,Togo,2010,Population mid-year estimates for females (millions),3.28
768,Togo,2010,Sex ratio (males per 100 females),100.2
768,Togo,2010,Population aged 0 to 14 years old (percentage),41.8
768,Togo,2010,Population aged 60+ years old (percentage),4.6
768,Togo,2010,Population density,120.8
768,Togo,2015,Population mid-year estimates (millions),7.47
768,Togo,2015,Population mid-year estimates for males (millions),3.75
768,Togo,2015,Population mid-year estimates for females (millions),3.72
768,Togo,2015,Sex ratio (males per 100 females),100.7
768,Togo,2015,Population aged 0 to 14 years old (percentage),41.4
768,Togo,2015,Population aged 60+ years old (percentage),4.7
768,Togo,2015,Population density,137.4
768,Togo,2021,Population mid-year estimates (millions),8.64
768,Togo,2021,Population mid-year estimates for males (millions),4.35
768,Togo,2021,Population mid-year estimates for females (millions),4.3
768,Togo,2021,Sex ratio (males per 100 females),101.1
768,Togo,2021,Population aged 0 to 14 years old (percentage),40.2
768,Togo,2021,Population aged 60+ years old (percentage),5
768,Togo,2021,Population density,158.9
768,Togo,2021,Surface area (thousand km2),57
768,Togo,2022,Population mid-year estimates (millions),8.85
768,Togo,2022,Population mid-year estimates for males (millions),4.45
768,Togo,2022,Population mid-year estimates for females (millions),4.4
768,Togo,2022,Sex ratio (males per 100 females),101.1
768,Togo,2022,Population aged 0 to 14 years old (percentage),40
768,Togo,2022,Population aged 60+ years old (percentage),5.1
768,Togo,2022,Population density,162.7
772,Tokelau,2010,Population mid-year estimates (millions),0
772,Tokelau,2010,Population mid-year estimates for males (millions),0
772,Tokelau,2010,Population mid-year estimates for females (millions),0
772,Tokelau,2010,Sex ratio (males per 100 females),105.1
772,Tokelau,2010,Population aged 0 to 14 years old (percentage),30.4
772,Tokelau,2010,Population aged 60+ years old (percentage),14.6
772,Tokelau,2010,Population density,113.9
772,Tokelau,2015,Population mid-year estimates (millions),0
772,Tokelau,2015,Population mid-year estimates for males (millions),0
772,Tokelau,2015,Population mid-year estimates for females (millions),0
772,Tokelau,2015,Sex ratio (males per 100 females),104.1
772,Tokelau,2015,Population aged 0 to 14 years old (percentage),30.1
772,Tokelau,2015,Population aged 60+ years old (percentage),14.6
772,Tokelau,2015,Population density,121.2
772,Tokelau,2021,Population mid-year estimates (millions),0
772,Tokelau,2021,Population mid-year estimates for males (millions),0
772,Tokelau,2021,Population mid-year estimates for females (millions),0
772,Tokelau,2021,Sex ratio (males per 100 females),99.8
772,Tokelau,2021,Population aged 0 to 14 years old (percentage),29.3
772,Tokelau,2021,Population aged 60+ years old (percentage),12.6
772,Tokelau,2021,Population density,154.1
772,Tokelau,2021,Surface area (thousand km2),0
772,Tokelau,2022,Population mid-year estimates (millions),0
772,Tokelau,2022,Population mid-year estimates for males (millions),0
772,Tokelau,2022,Population mid-year estimates for females (millions),0
772,Tokelau,2022,Sex ratio (males per 100 females),99.8
772,Tokelau,2022,Population aged 0 to 14 years old (percentage),28.5
772,Tokelau,2022,Population aged 60+ years old (percentage),12.9
772,Tokelau,2022,Population density,155.9
776,Tonga,2010,Population mid-year estimates (millions),0.11
776,Tonga,2010,Population mid-year estimates for males (millions),0.05
776,Tonga,2010,Population mid-year estimates for females (millions),0.05
776,Tonga,2010,Sex ratio (males per 100 females),101.4
776,Tonga,2010,Population aged 0 to 14 years old (percentage),37.6
776,Tonga,2010,Population aged 60+ years old (percentage),8.2
776,Tonga,2010,Population density,165.2
776,Tonga,2015,Population mid-year estimates (millions),0.11
776,Tonga,2015,Population mid-year estimates for males (millions),0.05
776,Tonga,2015,Population mid-year estimates for females (millions),0.05
776,Tonga,2015,Sex ratio (males per 100 females),99.5
776,Tonga,2015,Population aged 0 to 14 years old (percentage),36.8
776,Tonga,2015,Population aged 60+ years old (percentage),8.6
776,Tonga,2015,Population density,163.3
776,Tonga,2021,Population mid-year estimates (millions),0.11
776,Tonga,2021,Population mid-year estimates for males (millions),0.05
776,Tonga,2021,Population mid-year estimates for females (millions),0.05
776,Tonga,2021,Sex ratio (males per 100 females),97.9
776,Tonga,2021,Population aged 0 to 14 years old (percentage),34.6
776,Tonga,2021,Population aged 60+ years old (percentage),9
776,Tonga,2021,Population density,163.1
776,Tonga,2021,Surface area (thousand km2),1
776,Tonga,2022,Population mid-year estimates (millions),0.11
776,Tonga,2022,Population mid-year estimates for males (millions),0.05
776,Tonga,2022,Population mid-year estimates for females (millions),0.05
776,Tonga,2022,Sex ratio (males per 100 females),97.8
776,Tonga,2022,Population aged 0 to 14 years old (percentage),34.3
776,Tonga,2022,Population aged 60+ years old (percentage),9
776,Tonga,2022,Population density,164.4
780,Trinidad and Tobago,2010,Population mid-year estimates (millions),1.41
780,Trinidad and Tobago,2010,Population mid-year estimates for males (millions),0.7
780,Trinidad and Tobago,2010,Population mid-year estimates for females (millions),0.71
780,Trinidad and Tobago,2010,Sex ratio (males per 100 females),97.5
780,Trinidad and Tobago,2010,Population aged 0 to 14 years old (percentage),20.8
780,Trinidad and Tobago,2010,Population aged 60+ years old (percentage),10.7
780,Trinidad and Tobago,2010,Population density,274.9
780,Trinidad and Tobago,2015,Population mid-year estimates (millions),1.46
780,Trinidad and Tobago,2015,Population mid-year estimates for males (millions),0.72
780,Trinidad and Tobago,2015,Population mid-year estimates for females (millions),0.74
780,Trinidad and Tobago,2015,Sex ratio (males per 100 females),97.2
780,Trinidad and Tobago,2015,Population aged 0 to 14 years old (percentage),20.4
780,Trinidad and Tobago,2015,Population aged 60+ years old (percentage),13.4
780,Trinidad and Tobago,2015,Population density,284.6
780,Trinidad and Tobago,2021,Population mid-year estimates (millions),1.53
780,Trinidad and Tobago,2021,Population mid-year estimates for males (millions),0.75
780,Trinidad and Tobago,2021,Population mid-year estimates for females (millions),0.77
780,Trinidad and Tobago,2021,Sex ratio (males per 100 females),97.4
780,Trinidad and Tobago,2021,Population aged 0 to 14 years old (percentage),19.3
780,Trinidad and Tobago,2021,Population aged 60+ years old (percentage),16.6
780,Trinidad and Tobago,2021,Population density,297.4
780,Trinidad and Tobago,2021,Surface area (thousand km2),5
780,Trinidad and Tobago,2022,Population mid-year estimates (millions),1.53
780,Trinidad and Tobago,2022,Population mid-year estimates for males (millions),0.76
780,Trinidad and Tobago,2022,Population mid-year estimates for females (millions),0.78
780,Trinidad and Tobago,2022,Sex ratio (males per 100 females),97.3
780,Trinidad and Tobago,2022,Population aged 0 to 14 years old (percentage),19
780,Trinidad and Tobago,2022,Population aged 60+ years old (percentage),17.2
780,Trinidad and Tobago,2022,Population density,298.4
788,Tunisia,2010,Population mid-year estimates (millions),10.9
788,Tunisia,2010,Population mid-year estimates for males (millions),5.42
788,Tunisia,2010,Population mid-year estimates for females (millions),5.47
788,Tunisia,2010,Sex ratio (males per 100 females),99.1
788,Tunisia,2010,Population aged 0 to 14 years old (percentage),23.8
788,Tunisia,2010,Population aged 60+ years old (percentage),9.8
788,Tunisia,2010,Population density,70.1
788,Tunisia,2015,Population mid-year estimates (millions),11.56
788,Tunisia,2015,Population mid-year estimates for males (millions),5.74
788,Tunisia,2015,Population mid-year estimates for females (millions),5.82
788,Tunisia,2015,Sex ratio (males per 100 females),98.5
788,Tunisia,2015,Population aged 0 to 14 years old (percentage),24.2
788,Tunisia,2015,Population aged 60+ years old (percentage),11.2
788,Tunisia,2015,Population density,74.4
788,Tunisia,2021,Population mid-year estimates (millions),12.26
788,Tunisia,2021,Population mid-year estimates for males (millions),6.06
788,Tunisia,2021,Population mid-year estimates for females (millions),6.21
788,Tunisia,2021,Sex ratio (males per 100 females),97.6
788,Tunisia,2021,Population aged 0 to 14 years old (percentage),24.9
788,Tunisia,2021,Population aged 60+ years old (percentage),13.4
788,Tunisia,2021,Population density,78.9
788,Tunisia,2021,Surface area (thousand km2),164
788,Tunisia,2022,Population mid-year estimates (millions),12.36
788,Tunisia,2022,Population mid-year estimates for males (millions),6.1
788,Tunisia,2022,Population mid-year estimates for females (millions),6.26
788,Tunisia,2022,Sex ratio (males per 100 females),97.5
788,Tunisia,2022,Population aged 0 to 14 years old (percentage),24.8
788,Tunisia,2022,Population aged 60+ years old (percentage),13.7
788,Tunisia,2022,Population density,79.5
792,Türkiye,2010,Population mid-year estimates (millions),73.2
792,Türkiye,2010,Population mid-year estimates for males (millions),36.76
792,Türkiye,2010,Population mid-year estimates for females (millions),36.44
792,Türkiye,2010,Sex ratio (males per 100 females),100.9
792,Türkiye,2010,Population aged 0 to 14 years old (percentage),26.7
792,Türkiye,2010,Population aged 60+ years old (percentage),9.5
792,Türkiye,2010,Population density,95.1
792,Türkiye,2015,Population mid-year estimates (millions),79.65
792,Türkiye,2015,Population mid-year estimates for males (millions),39.97
792,Türkiye,2015,Population mid-year estimates for females (millions),39.67
792,Türkiye,2015,Sex ratio (males per 100 females),100.8
792,Türkiye,2015,Population aged 0 to 14 years old (percentage),24.6
792,Türkiye,2015,Population aged 60+ years old (percentage),10.6
792,Türkiye,2015,Population density,103.5
792,Türkiye,2021,Population mid-year estimates (millions),84.78
792,Türkiye,2021,Population mid-year estimates for males (millions),42.49
792,Türkiye,2021,Population mid-year estimates for females (millions),42.29
792,Türkiye,2021,Sex ratio (males per 100 females),100.5
792,Türkiye,2021,Population aged 0 to 14 years old (percentage),23.5
792,Türkiye,2021,Population aged 60+ years old (percentage),12.3
792,Türkiye,2021,Population density,110.2
792,Türkiye,2021,Surface area (thousand km2),784
792,Türkiye,2022,Population mid-year estimates (millions),85.34
792,Türkiye,2022,Population mid-year estimates for males (millions),42.76
792,Türkiye,2022,Population mid-year estimates for females (millions),42.58
792,Türkiye,2022,Sex ratio (males per 100 females),100.4
792,Türkiye,2022,Population aged 0 to 14 years old (percentage),23.2
792,Türkiye,2022,Population aged 60+ years old (percentage),12.7
792,Türkiye,2022,Population density,110.9
795,Turkmenistan,2010,Population mid-year estimates (millions),5.27
795,Turkmenistan,2010,Population mid-year estimates for males (millions),2.6
795,Turkmenistan,2010,Population mid-year estimates for females (millions),2.67
795,Turkmenistan,2010,Sex ratio (males per 100 females),97.5
795,Turkmenistan,2010,Population aged 0 to 14 years old (percentage),30.2
795,Turkmenistan,2010,Population aged 60+ years old (percentage),6
795,Turkmenistan,2010,Population density,11.2
795,Turkmenistan,2015,Population mid-year estimates (millions),5.77
795,Turkmenistan,2015,Population mid-year estimates for males (millions),2.85
795,Turkmenistan,2015,Population mid-year estimates for females (millions),2.91
795,Turkmenistan,2015,Sex ratio (males per 100 females),97.9
795,Turkmenistan,2015,Population aged 0 to 14 years old (percentage),30.4
795,Turkmenistan,2015,Population aged 60+ years old (percentage),6.8
795,Turkmenistan,2015,Population density,12.3
795,Turkmenistan,2021,Population mid-year estimates (millions),6.34
795,Turkmenistan,2021,Population mid-year estimates for males (millions),3.14
795,Turkmenistan,2021,Population mid-year estimates for females (millions),3.2
795,Turkmenistan,2021,Sex ratio (males per 100 females),98.2
795,Turkmenistan,2021,Population aged 0 to 14 years old (percentage),31.2
795,Turkmenistan,2021,Population aged 60+ years old (percentage),8.5
795,Turkmenistan,2021,Population density,13.5
795,Turkmenistan,2021,Surface area (thousand km2),488
795,Turkmenistan,2022,Population mid-year estimates (millions),6.43
795,Turkmenistan,2022,Population mid-year estimates for males (millions),3.19
795,Turkmenistan,2022,Population mid-year estimates for females (millions),3.24
795,Turkmenistan,2022,Sex ratio (males per 100 females),98.2
795,Turkmenistan,2022,Population aged 0 to 14 years old (percentage),31.1
795,Turkmenistan,2022,Population aged 60+ years old (percentage),8.8
795,Turkmenistan,2022,Population density,13.7
796,Turks and Caicos Islands,2010,Population mid-year estimates (millions),0.03
796,Turks and Caicos Islands,2010,Population mid-year estimates for males (millions),0.02
796,Turks and Caicos Islands,2010,Population mid-year estimates for females (millions),0.01
796,Turks and Caicos Islands,2010,Sex ratio (males per 100 females),103.2
796,Turks and Caicos Islands,2010,Population aged 0 to 14 years old (percentage),22.9
796,Turks and Caicos Islands,2010,Population aged 60+ years old (percentage),9.5
796,Turks and Caicos Islands,2010,Population density,31.3
796,Turks and Caicos Islands,2015,Population mid-year estimates (millions),0.04
796,Turks and Caicos Islands,2015,Population mid-year estimates for males (millions),0.02
796,Turks and Caicos Islands,2015,Population mid-year estimates for females (millions),0.02
796,Turks and Caicos Islands,2015,Sex ratio (males per 100 females),102.5
796,Turks and Caicos Islands,2015,Population aged 0 to 14 years old (percentage),18.8
796,Turks and Caicos Islands,2015,Population aged 60+ years old (percentage),12.5
796,Turks and Caicos Islands,2015,Population density,38.5
796,Turks and Caicos Islands,2021,Population mid-year estimates (millions),0.05
796,Turks and Caicos Islands,2021,Population mid-year estimates for males (millions),0.02
796,Turks and Caicos Islands,2021,Population mid-year estimates for females (millions),0.02
796,Turks and Caicos Islands,2021,Sex ratio (males per 100 females),101.5
796,Turks and Caicos Islands,2021,Population aged 0 to 14 years old (percentage),16.7
796,Turks and Caicos Islands,2021,Population aged 60+ years old (percentage),15.2
796,Turks and Caicos Islands,2021,Population density,47.5
796,Turks and Caicos Islands,2021,Surface area (thousand km2),1
796,Turks and Caicos Islands,2022,Population mid-year estimates (millions),0.05
796,Turks and Caicos Islands,2022,Population mid-year estimates for males (millions),0.02
796,Turks and Caicos Islands,2022,Population mid-year estimates for females (millions),0.02
796,Turks and Caicos Islands,2022,Sex ratio (males per 100 females),101.4
796,Turks and Caicos Islands,2022,Population aged 0 to 14 years old (percentage),16.7
796,Turks and Caicos Islands,2022,Population aged 60+ years old (percentage),15.6
796,Turks and Caicos Islands,2022,Population density,48.1
798,Tuvalu,2010,Population mid-year estimates (millions),0.01
798,Tuvalu,2010,Population mid-year estimates for males (millions),0.01
798,Tuvalu,2010,Population mid-year estimates for females (millions),0.01
798,Tuvalu,2010,Sex ratio (males per 100 females),105
798,Tuvalu,2010,Population aged 0 to 14 years old (percentage),32.5
798,Tuvalu,2010,Population aged 60+ years old (percentage),8.4
798,Tuvalu,2010,Population density,351.7
798,Tuvalu,2015,Population mid-year estimates (millions),0.01
798,Tuvalu,2015,Population mid-year estimates for males (millions),0.01
798,Tuvalu,2015,Population mid-year estimates for females (millions),0.01
798,Tuvalu,2015,Sex ratio (males per 100 females),106.8
798,Tuvalu,2015,Population aged 0 to 14 years old (percentage),31.6
798,Tuvalu,2015,Population aged 60+ years old (percentage),8.9
798,Tuvalu,2015,Population density,362.6
798,Tuvalu,2021,Population mid-year estimates (millions),0.01
798,Tuvalu,2021,Population mid-year estimates for males (millions),0.01
798,Tuvalu,2021,Population mid-year estimates for females (millions),0.01
798,Tuvalu,2021,Sex ratio (males per 100 females),105.6
798,Tuvalu,2021,Population aged 0 to 14 years old (percentage),31.6
798,Tuvalu,2021,Population aged 60+ years old (percentage),10.8
798,Tuvalu,2021,Population density,373.5
798,Tuvalu,2021,Surface area (thousand km2),0
798,Tuvalu,2022,Population mid-year estimates (millions),0.01
798,Tuvalu,2022,Population mid-year estimates for males (millions),0.01
798,Tuvalu,2022,Population mid-year estimates for females (millions),0.01
798,Tuvalu,2022,Sex ratio (males per 100 females),105.2
798,Tuvalu,2022,Population aged 0 to 14 years old (percentage),31.7
798,Tuvalu,2022,Population aged 60+ years old (percentage),11.1
798,Tuvalu,2022,Population density,377.1
800,Uganda,2010,Population mid-year estimates (millions),32.34
800,Uganda,2010,Population mid-year estimates for males (millions),15.92
800,Uganda,2010,Population mid-year estimates for females (millions),16.42
800,Uganda,2010,Sex ratio (males per 100 females),96.9
800,Uganda,2010,Population aged 0 to 14 years old (percentage),49.9
800,Uganda,2010,Population aged 60+ years old (percentage),2.6
800,Uganda,2010,Population density,161.9
800,Uganda,2015,Population mid-year estimates (millions),37.48
800,Uganda,2015,Population mid-year estimates for males (millions),18.49
800,Uganda,2015,Population mid-year estimates for females (millions),18.98
800,Uganda,2015,Sex ratio (males per 100 females),97.4
800,Uganda,2015,Population aged 0 to 14 years old (percentage),48.5
800,Uganda,2015,Population aged 60+ years old (percentage),2.7
800,Uganda,2015,Population density,187.6
800,Uganda,2021,Population mid-year estimates (millions),45.85
800,Uganda,2021,Population mid-year estimates for males (millions),22.7
800,Uganda,2021,Population mid-year estimates for females (millions),23.15
800,Uganda,2021,Sex ratio (males per 100 females),98
800,Uganda,2021,Population aged 0 to 14 years old (percentage),45.2
800,Uganda,2021,Population aged 60+ years old (percentage),2.9
800,Uganda,2021,Population density,229.5
800,Uganda,2021,Surface area (thousand km2),242
800,Uganda,2022,Population mid-year estimates (millions),47.25
800,Uganda,2022,Population mid-year estimates for males (millions),23.4
800,Uganda,2022,Population mid-year estimates for females (millions),23.85
800,Uganda,2022,Sex ratio (males per 100 females),98.1
800,Uganda,2022,Population aged 0 to 14 years old (percentage),44.8
800,Uganda,2022,Population aged 60+ years old (percentage),2.9
800,Uganda,2022,Population density,236.5
804,Ukraine,2010,Population mid-year estimates (millions),45.68
804,Ukraine,2010,Population mid-year estimates for males (millions),21.06
804,Ukraine,2010,Population mid-year estimates for females (millions),24.62
804,Ukraine,2010,Sex ratio (males per 100 females),85.6
804,Ukraine,2010,Population aged 0 to 14 years old (percentage),14.2
804,Ukraine,2010,Population aged 60+ years old (percentage),20.8
804,Ukraine,2010,Population density,78.9
804,Ukraine,2015,Population mid-year estimates (millions),44.98
804,Ukraine,2015,Population mid-year estimates for males (millions),20.82
804,Ukraine,2015,Population mid-year estimates for females (millions),24.16
804,Ukraine,2015,Sex ratio (males per 100 females),86.2
804,Ukraine,2015,Population aged 0 to 14 years old (percentage),15.2
804,Ukraine,2015,Population aged 60+ years old (percentage),22
804,Ukraine,2015,Population density,77.6
804,Ukraine,2021,Population mid-year estimates (millions),43.53
804,Ukraine,2021,Population mid-year estimates for males (millions),20.15
804,Ukraine,2021,Population mid-year estimates for females (millions),23.38
804,Ukraine,2021,Sex ratio (males per 100 females),86.2
804,Ukraine,2021,Population aged 0 to 14 years old (percentage),15.2
804,Ukraine,2021,Population aged 60+ years old (percentage),24.5
804,Ukraine,2021,Population density,75.1
804,Ukraine,2021,Surface area (thousand km2),604
804,Ukraine,2022,Population mid-year estimates (millions),39.7
804,Ukraine,2022,Population mid-year estimates for males (millions),18.23
804,Ukraine,2022,Population mid-year estimates for females (millions),21.47
804,Ukraine,2022,Sex ratio (males per 100 females),84.9
804,Ukraine,2022,Population aged 0 to 14 years old (percentage),15.4
804,Ukraine,2022,Population aged 60+ years old (percentage),26.5
804,Ukraine,2022,Population density,68.5
784,United Arab Emirates,2010,Population mid-year estimates (millions),8.48
784,United Arab Emirates,2010,Population mid-year estimates for males (millions),6.18
784,United Arab Emirates,2010,Population mid-year estimates for females (millions),2.31
784,United Arab Emirates,2010,Sex ratio (males per 100 females),267.7
784,United Arab Emirates,2010,Population aged 0 to 14 years old (percentage),13.7
784,United Arab Emirates,2010,Population aged 60+ years old (percentage),0.3
784,United Arab Emirates,2010,Population density,119.4
784,United Arab Emirates,2015,Population mid-year estimates (millions),8.92
784,United Arab Emirates,2015,Population mid-year estimates for males (millions),6.34
784,United Arab Emirates,2015,Population mid-year estimates for females (millions),2.58
784,United Arab Emirates,2015,Sex ratio (males per 100 females),245.7
784,United Arab Emirates,2015,Population aged 0 to 14 years old (percentage),14.3
784,United Arab Emirates,2015,Population aged 60+ years old (percentage),1.1
784,United Arab Emirates,2015,Population density,125.5
784,United Arab Emirates,2021,Population mid-year estimates (millions),9.37
784,United Arab Emirates,2021,Population mid-year estimates for males (millions),6.51
784,United Arab Emirates,2021,Population mid-year estimates for females (millions),2.85
784,United Arab Emirates,2021,Sex ratio (males per 100 females),228.2
784,United Arab Emirates,2021,Population aged 0 to 14 years old (percentage),15.1
784,United Arab Emirates,2021,Population aged 60+ years old (percentage),3.3
784,United Arab Emirates,2021,Population density,131.9
784,United Arab Emirates,2021,Surface area (thousand km2),71
784,United Arab Emirates,2022,Population mid-year estimates (millions),9.44
784,United Arab Emirates,2022,Population mid-year estimates for males (millions),6.55
784,United Arab Emirates,2022,Population mid-year estimates for females (millions),2.89
784,United Arab Emirates,2022,Sex ratio (males per 100 females),226.3
784,United Arab Emirates,2022,Population aged 0 to 14 years old (percentage),15.2
784,United Arab Emirates,2022,Population aged 60+ years old (percentage),3.5
784,United Arab Emirates,2022,Population density,132.9
826,United Kingdom,2010,Population mid-year estimates (millions),62.76
826,United Kingdom,2010,Population mid-year estimates for males (millions),30.8
826,United Kingdom,2010,Population mid-year estimates for females (millions),31.96
826,United Kingdom,2010,Sex ratio (males per 100 females),96.4
826,United Kingdom,2010,Population aged 0 to 14 years old (percentage),17.6
826,United Kingdom,2010,Population aged 60+ years old (percentage),22.3
826,United Kingdom,2010,Population density,258.5
826,United Kingdom,2015,Population mid-year estimates (millions),65.22
826,United Kingdom,2015,Population mid-year estimates for males (millions),32.13
826,United Kingdom,2015,Population mid-year estimates for females (millions),33.1
826,United Kingdom,2015,Sex ratio (males per 100 females),97.1
826,United Kingdom,2015,Population aged 0 to 14 years old (percentage),17.7
826,United Kingdom,2015,Population aged 60+ years old (percentage),23.2
826,United Kingdom,2015,Population density,268.7
826,United Kingdom,2021,Population mid-year estimates (millions),67.28
826,United Kingdom,2021,Population mid-year estimates for males (millions),33.24
826,United Kingdom,2021,Population mid-year estimates for females (millions),34.04
826,United Kingdom,2021,Sex ratio (males per 100 females),97.6
826,United Kingdom,2021,Population aged 0 to 14 years old (percentage),17.7
826,United Kingdom,2021,Population aged 60+ years old (percentage),24.8
826,United Kingdom,2021,Population density,277.2
826,United Kingdom,2021,Surface area (thousand km2),242
826,United Kingdom,2022,Population mid-year estimates (millions),67.51
826,United Kingdom,2022,Population mid-year estimates for males (millions),33.36
826,United Kingdom,2022,Population mid-year estimates for females (millions),34.15
826,United Kingdom,2022,Sex ratio (males per 100 females),97.7
826,United Kingdom,2022,Population aged 0 to 14 years old (percentage),17.5
826,United Kingdom,2022,Population aged 60+ years old (percentage),25.2
826,United Kingdom,2022,Population density,278.1
834,United Rep. of Tanzania,2010,Population mid-year estimates (millions),45.11
834,United Rep. of Tanzania,2010,Population mid-year estimates for males (millions),22.18
834,United Rep. of Tanzania,2010,Population mid-year estimates for females (millions),22.93
834,United Rep. of Tanzania,2010,Sex ratio (males per 100 females),96.7
834,United Rep. of Tanzania,2010,Population aged 0 to 14 years old (percentage),45.1
834,United Rep. of Tanzania,2010,Population aged 60+ years old (percentage),4.7
834,United Rep. of Tanzania,2010,Population density,50.9
834,United Rep. of Tanzania,2015,Population mid-year estimates (millions),52.54
834,United Rep. of Tanzania,2015,Population mid-year estimates for males (millions),25.86
834,United Rep. of Tanzania,2015,Population mid-year estimates for females (millions),26.68
834,United Rep. of Tanzania,2015,Sex ratio (males per 100 females),96.9
834,United Rep. of Tanzania,2015,Population aged 0 to 14 years old (percentage),44.8
834,United Rep. of Tanzania,2015,Population aged 60+ years old (percentage),4.8
834,United Rep. of Tanzania,2015,Population density,59.3
834,United Rep. of Tanzania,2021,Population mid-year estimates (millions),63.59
834,United Rep. of Tanzania,2021,Population mid-year estimates for males (millions),31.42
834,United Rep. of Tanzania,2021,Population mid-year estimates for females (millions),32.17
